u,v,veh,avg_wait,edge_color
13,26,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
14,1,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,0,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,2,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,3,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,4,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,5,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,6,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,7,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,8,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,9,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,10,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,11,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,12,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,13,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
14,15,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,16,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,17,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,18,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,19,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,20,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,21,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,22,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,23,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,24,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,25,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
14,26,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,1,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,0,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,2,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,3,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,4,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,5,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,6,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,7,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,8,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,9,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,10,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,11,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,12,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,13,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,14,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
15,16,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,17,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,18,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,19,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,20,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,21,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,22,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,23,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,24,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,25,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
15,26,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,1,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,0,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,2,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,3,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,4,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,5,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,6,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,7,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,8,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,9,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,10,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,11,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,12,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,13,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,14,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,15,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
16,17,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,18,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,19,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,20,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,21,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,22,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,23,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,24,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,25,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
16,26,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,1,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,0,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,2,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,3,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,4,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,5,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,6,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,7,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,8,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,9,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,10,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,11,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,12,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,13,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,14,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,15,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,16,{1: {'0': 9.0}},3.3333333333333335,#00B300
17,18,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,19,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,20,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,21,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,22,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,23,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,24,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,25,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
17,26,{1: {'1': 8.947368421052632}},3.3529411764705883,#00B300
18,1,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,0,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,2,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,3,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,4,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,5,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,6,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,7,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,8,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,9,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,10,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,11,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,12,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,13,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,14,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,15,{1: {'0': 9.0}},3.3333333333333335,#00B300
